WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,ARI,30,39,76.9,360,9.2,5,0,144.23,3,5,1.7,0,34.9,34.9
2,LAC,24,35,68.6,235,6.7,2,0,106.25,2,-1,-0.5,0,17.3,17.3
3,IND,20,35,57.1,262,7.5,1,1,78.51,4,26,6.5,0,17.1,17.08
4,TB,23,37,62.2,249,6.7,3,1,97.69,4,34,8.5,0,23.4,23.36
5,LV,29,43,67.4,292,6.8,4,0,117.59,4,28,7,0,30.5,30.48
6,BUF,25,40,62.5,338,8.4,2,2,85.21,4,21,5.2,0,19.6,19.62
7,SF,25,34,73.5,423,12.4,3,1,132.35,0,0,0,0,26.9,26.92
9,TEN,43,68,63.2,446,6.6,1,1,80.88,6,63,10.5,1,34.1,34.14
10,JAX,26,35,74.3,331,9.5,4,1,129.58,7,39,5.6,0,31.1,31.14
11,LAC,20,34,58.8,329,9.7,3,0,120.83,4,23,5.8,0,27.5,27.46
12,LAR,27,42,64.3,320,7.6,1,1,85.42,4,36,9,0,18.4,18.4
1,CLE,27,36,75,337,9.4,3,0,131.37,5,18,3.6,1,33.3,33.28
2,BAL,24,31,77.4,343,11.1,3,1,131.52,1,3,3,0,24,24.02
3,LAC,27,44,61.4,260,5.9,3,2,81.63,4,45,11.2,0,22.9,22.9
4,PHI,24,30,80,278,9.3,5,1,130.97,5,26,5.2,0,31.7,31.72
5,BUF,33,54,61.1,272,5,2,2,70.91,8,61,7.6,0,19,18.98
6,WAS,32,47,68.1,397,8.4,2,2,90.47,3,31,10.3,0,23,22.98
7,TEN,20,35,57.1,206,5.9,0,1,62.32,6,35,5.8,0,7.7,7.74
8,NYG,29,48,60.4,275,5.7,1,1,74.57,3,10,3.3,0,14,14
9,GB,20,37,54.1,166,4.5,1,0,74.83,2,-2,-1,0,10.4,10.44
10,LV,35,50,70,406,8.1,5,0,127.58,0,0,0,0,36.2,36.24
11,DAL,23,37,62.2,260,7,0,1,71.9,7,11,1.6,0,7.5,7.5
13,DEN,15,29,51.7,184,6.3,0,1,57.26,4,12,3,1,12.6,12.56
14,LV,20,24,83.3,258,10.8,2,0,139.24,4,20,5,0,20.3,20.32
15,LAC,31,47,66,410,8.7,3,1,105.81,3,32,10.7,0,29.6,29.6
16,PIT,23,30,76.7,258,8.6,3,0,135.14,0,0,0,0,22.3,22.32
17,CIN,26,35,74.3,259,7.4,2,0,113.87,2,25,12.5,0,20.9,20.86
18,DEN,27,44,61.4,270,6.1,2,0,93.94,9,54,6,0,26.2,26.2
1,HOU,24,32,75,211,6.6,3,0,123.31,0,0,0,0,20.4,20.44
2,LAC,27,47,57.4,302,6.4,2,0,90.91,6,54,9,0,27.5,27.48
3,BAL,31,42,73.8,385,9.2,4,0,133.53,4,26,6.5,1,40,40
4,NE,19,29,65.5,236,8.1,2,0,113.58,8,28,3.5,0,20.2,20.24
5,LV,22,43,51.2,340,7.9,2,1,83.48,6,21,3.5,1,29.7,29.7
6,BUF,21,26,80.8,225,8.7,2,0,128.37,10,36,3.6,0,20.6,20.6
7,DEN,15,23,65.2,200,8.7,1,0,107.16,0,0,0,0,12,12
8,NYJ,31,42,73.8,416,9.9,5,0,144.44,0,0,0,0,36.6,36.64
9,CAR,30,45,66.7,372,8.3,4,0,121.71,1,6,6,0,31.5,31.48
11,LV,34,45,75.6,348,7.7,2,1,102.82,4,16,4,0,21.5,21.52
12,TB,37,49,75.5,462,9.4,3,0,124.7,4,28,7,0,31.3,31.28
13,DEN,25,40,62.5,318,8,1,0,95.62,4,26,6.5,0,19.3,19.32
14,MIA,24,34,70.6,393,11.6,2,3,91.91,5,9,1.8,0,18.6,18.62
15,NO,26,47,55.3,254,5.4,3,0,91.98,7,37,5.3,0,25.9,25.86
16,ATL,24,44,54.5,278,6.3,2,1,79.55,3,21,7,0,19.2,19.22
1,JAX,25,33,75.8,378,11.5,3,0,143.24,1,2,2,0,27.3,27.32
2,LV,30,44,68.2,443,10.1,4,0,131.16,1,-1,-1,0,31.6,31.62
3,BAL,27,37,73,374,10.1,3,0,132.04,4,9,2.2,0,27.9,27.86
4,DET,24,42,57.1,315,7.5,0,0,80.95,6,54,9,0,18,18
5,IND,22,39,56.4,321,8.2,1,0,91.93,3,17,5.7,0,18.5,18.54
6,HOU,19,35,54.3,273,7.8,3,1,96.49,1,-1,-1,0,18.8,18.82
7,DEN,10,11,90.9,76,6.9,1,0,125.76,1,2,2,0,7.2,7.24
10,TEN,36,50,72,446,8.9,3,0,119.25,0,0,0,0,29.8,29.84
11,LAC,19,32,59.4,182,5.7,1,1,72.66,5,59,11.8,0,15.2,15.18
13,LV,15,29,51.7,175,6,1,0,81.82,3,25,8.3,1,19.5,19.5
14,NE,26,40,65,283,7.1,1,1,83.65,6,6,1,0,13.9,13.92
15,DEN,27,34,79.4,340,10,2,1,115.69,3,11,3.7,0,22.7,22.7
16,CHI,23,33,69.7,251,7.6,2,0,112.06,2,14,7,1,25.4,25.44
17,LAC,16,25,64,174,7,1,1,81.08,7,21,3,0,11.1,11.06
1,LAC,15,27,55.6,256,9.5,4,0,127.47,5,21,4.2,0,28.3,28.34
2,PIT,23,28,82.1,326,11.6,6,0,154.76,5,18,3.6,0,38.8,38.84
3,SF,24,38,63.2,314,8.3,3,0,115.46,5,7,1.4,0,25.3,25.26
4,DEN,28,45,62.2,304,6.8,1,0,89.49,3,7,2.3,1,22.9,22.86
5,JAX,22,38,57.9,313,8.2,0,2,62.72,4,13,3.2,1,15.8,15.82
6,NE,23,36,63.9,352,9.8,4,2,109.95,2,9,4.5,0,27,26.98
7,CIN,28,39,71.8,358,9.2,4,1,123.66,4,45,11.2,0,32.8,32.82
8,DEN,24,34,70.6,303,8.9,4,1,125,2,-1,-0.5,0,26,26.02
9,CLE,23,32,71.9,375,11.7,3,1,129.04,2,18,9,0,26.8,26.8
10,ARI,21,28,75,249,8.9,2,0,125.45,4,21,5.2,0,20.1,20.06
11,LAR,33,46,71.7,478,10.4,6,3,117.57,6,28,4.7,0,35.9,35.92
13,LV,23,38,60.5,295,7.8,4,0,119.96,9,52,5.8,0,33,33
14,BAL,35,53,66,377,7.1,2,1,91.47,2,-3,-1.5,0,20.8,20.78
15,LAC,24,34,70.6,243,7.1,2,0,110.29,2,3,1.5,0,18,18.02
16,SEA,23,40,57.5,273,6.8,3,0,103.44,3,33,11,0,28.2,28.22
17,LV,14,24,58.3,281,11.7,2,1,109.9,2,1,0.5,0,17.3,17.34
