WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,SEA,29,42,69,340,8.1,1,0,101.29,1,2,2,0,17.8,17.8
2,HOU,14,31,45.2,219,7.1,1,1,66.47,2,3,1.5,0,11.1,11.06
3,SF,20,33,60.6,184,5.6,0,0,75.82,6,17,2.8,0,9.1,9.06
4,LV,17,25,68,237,9.5,2,0,124.92,4,29,7.2,1,26.5,26.48
5,IND,21,39,53.8,274,7,0,2,54.86,4,22,5.5,0,9.2,9.16
6,LAC,15,28,53.6,188,6.7,1,0,86.61,4,23,5.8,0,13.8,13.82
8,JAX,18,30,60,252,8.4,1,1,84.31,4,17,4.2,0,13.8,13.78
10,TEN,21,42,50,286,6.8,1,1,70.14,7,8,1.1,0,14.2,14.24
11,LV,24,31,77.4,247,8,0,0,99.8,1,8,8,0,10.7,10.68
12,CAR,19,35,54.3,142,4.1,1,0,73.75,2,8,4,0,8.5,8.48
