Player	Team	Gms	Rec	Yds	Avg	YPG	Lg	TD	FD	Tar	YAC
Tyreek Hill	MIA	10	81	1,148	14.17	114.8	64	4	52	106	350
Cooper Kupp	LA	9	75	812	10.83	90.2	75t	6	42	98	422
Stefon Diggs	BUF	9	72	985	13.68	109.4	53t	7	45	99	318
Justin Jefferson	MIN	9	69	1,060	15.36	117.8	64	4	43	100	392
Austin Ekeler	LAC	9	67	420	6.27	46.7	23	4	24	81	504
Travis Kelce	KC	9	63	740	11.75	82.2	46	8	48	84	309
Michael Pittman	IND	9	61	603	9.89	67.0	28	1	32	85	245
Davante Adams	LV	9	57	784	13.75	87.1	58t	8	34	99	306
Tyler Lockett	SEA	10	54	640	11.85	64.0	40t	5	32	71	143
CeeDee Lamb	DAL	9	53	706	13.32	78.4	35t	5	37	88	238
Christian Kirk	JAX	10	52	679	13.06	67.9	49	7	35	82	230
Jaylen Waddle	MIA	10	51	878	17.22	87.8	59	6	42	75	312
Mike Evans	TB	9	49	671	13.69	74.6	51	3	34	76	123
Amon-Ra St. Brown	DET	8	49	518	10.57	64.8	49	3	28	70	278
Chris Godwin	TB	8	48	475	9.90	59.4	44	1	23	73	232
D.K. Metcalf	SEA	10	48	581	12.10	58.1	54	4	28	77	135
Ja'Marr Chase	CIN	7	47	605	12.87	86.4	60t	6	34	74	273
Zach Ertz	ARI	10	47	406	8.64	40.6	32	4	24	69	130
Diontae Johnson	PIT	9	47	435	9.26	48.3	36	0	22	81	86
Zay Jones	JAX	9	47	417	8.87	46.3	22	1	25	65	160
Christian McCaffrey	CAR/SF	9	47	395	8.40	43.9	49	2	18	60	428
Chris Olave	NO	9	46	658	14.30	73.1	51	2	30	77	108
JuJu Smith-Schuster	KC	9	46	615	13.37	68.3	53	2	29	64	313
Curtis Samuel	WAS	9	45	455	10.11	50.6	49t	3	25	66	193
Brandon Aiyuk	SF	9	44	567	12.89	63.0	34t	4	26	62	236
Tyler Higbee	LA	9	44	385	8.75	42.8	26	0	19	65	259
A.J. Brown	PHI	8	43	718	16.70	89.8	54	6	30	69	273
Marquise Brown	ARI	6	43	485	11.28	80.8	26	3	24	64	159
Leonard Fournette	TB	10	43	315	7.33	31.5	25	3	15	50	358
