Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Derrick Henry,TEN,8,183,870,4.75,108.8,56,9,40
Nick Chubb,CLE,8,149,841,5.64,105.1,41t,10,39
Saquon Barkley,NYG,8,163,779,4.78,97.4,68,5,32
Josh Jacobs,LV,8,138,743,5.38,92.9,43,6,43
Travis Etienne,JAX,9,120,680,5.67,75.6,49,4,34
Dameon Pierce,HOU,8,148,678,4.58,84.8,75t,3,40
Miles Sanders,PHI,8,131,656,5.01,82.0,35,6,33
Lamar Jackson,BAL,9,86,635,7.38,70.6,79t,2,38
Rhamondre Stevenson,NE,9,129,618,4.79,68.7,49,4,32
Dalvin Cook,MIN,8,131,608,4.64,76.0,53t,5,29
Justin Fields,CHI,9,91,602,6.62,66.9,61t,4,42
Aaron Jones,GB,9,107,600,5.61,66.7,36,1,32
Khalil Herbert,CHI,9,98,586,5.98,65.1,63,4,20
Joe Mixon,CIN,9,151,585,3.87,65.0,31,6,35
Kenneth Walker,SEA,8,111,570,5.14,71.2,74t,7,27
Jamaal Williams,DET,8,126,545,4.33,68.1,51t,8,33
Christian McCaffrey,CAR/SF,8,111,525,4.73,65.6,49,3,27
Jeffery Wilson,SF/MIA,9,101,519,5.14,57.7,41,2,24
Tony Pollard,DAL,8,81,506,6.25,63.2,57t,5,21
Raheem Mostert,MIA,9,110,478,4.35,53.1,25,2,24
Breece Hall,NYJ,7,80,463,5.79,66.1,62t,4,20
Jonathan Taylor,IND,6,107,462,4.32,77.0,27,1,24
Ezekiel Elliott,DAL,7,109,443,4.06,63.3,27,4,26
Alvin Kamara,NO,7,104,443,4.26,63.3,27,1,21
Austin Ekeler,LAC,8,98,427,4.36,53.4,71,6,19
Tyler Allgeier,ATL,8,94,423,4.50,52.9,44,1,19
Leonard Fournette,TB,9,121,405,3.35,45.0,17,2,24
James Robinson,JAX/NYJ,9,99,405,4.09,45.0,50t,3,21
David Montgomery,CHI,8,106,397,3.75,49.6,28,2,20
Josh Allen,BUF,8,62,392,6.32,49.0,36t,4,31
AJ Dillon,GB,9,98,389,3.97,43.2,27,1,23
Cordarrelle Patterson,ATL,5,71,384,5.41,76.8,40,5,23
Daniel Jones,NYG,8,64,363,5.67,45.4,24,3,29
Najee Harris,PIT,8,108,361,3.34,45.1,18,1,15
Kyler Murray,ARI,9,59,359,6.08,39.9,42,2,19
Devin Singletary,BUF,8,79,347,4.39,43.4,30,0,14
Rashaad Penny,SEA,5,57,346,6.07,69.2,41t,2,15
Kenyan Drake,BAL,7,73,344,4.71,49.1,40,3,16
Taysom Hill,NO,8,40,343,8.58,42.9,60t,5,21
Michael Carter,NYJ,9,85,330,3.88,36.7,25,3,13
Antonio Gibson,WAS,9,89,328,3.69,36.4,20,2,21
Jalen Hurts,PHI,8,88,326,3.70,40.8,26t,6,28
Kareem Hunt,CLE,8,77,305,3.96,38.1,24t,3,19
Marcus Mariota,ATL,9,60,304,5.07,33.8,30,3,21
Damien Harris,NE,7,71,302,4.25,43.1,16,3,16
Eno Benjamin,ARI,9,70,299,4.27,33.2,45,2,14
Caleb Huntley,ATL,7,64,299,4.67,42.7,30,1,15
D'Onta Foreman,CAR,9,60,296,4.93,32.9,60,3,13
Clyde Edwards-Helaire,KC,8,69,293,4.25,36.6,52,3,14
Melvin Gordon,DEN,8,75,263,3.51,32.9,17,2,12
Darrell Henderson,LA,8,62,253,4.08,31.6,23,2,11
D'Andre Swift,DET,5,34,247,7.26,49.4,50,1,7
James Conner,ARI,6,61,245,4.02,40.8,17,1,19
Brian Robinson,WAS,5,67,219,3.27,43.8,24,1,13
Javonte Williams,DEN,4,47,204,4.34,51.0,17,0,9
Isiah Pacheco,KC,8,44,197,4.48,24.6,22,1,6
Mark Ingram,NO,8,51,196,3.84,24.5,14,1,11
Geno Smith,SEA,9,41,196,4.78,21.8,24,1,13
Latavius Murray,DEN/NO,4,48,193,4.02,48.2,14,3,10
Justice Hill,BAL,7,32,190,5.94,27.1,34,0,7
Patrick Mahomes,KC,8,27,176,6.52,22.0,20,1,12
Cam Akers,LA,6,56,154,2.75,25.7,14t,1,9
Jaylen Warren,PIT,8,29,153,5.28,19.1,19,0,10
Trevor Lawrence,JAX,9,33,152,4.61,16.9,24,3,14
James Cook,BUF,8,28,147,5.25,18.4,33,1,8
Jacoby Brissett,CLE,8,31,142,4.58,17.8,21,2,19
Joe Burrow,CIN,9,35,141,4.03,15.7,23,4,15
Alexander Mattison,MIN,8,37,138,3.73,17.2,15,2,9
Deebo Samuel,SF,7,24,138,5.75,19.7,51,1,4
Samaje Perine,CIN,9,25,133,5.32,14.8,29,0,7
Gus Edwards,BAL,2,27,131,4.85,65.5,22,2,9
J.K. Dobbins,BAL,4,35,123,3.51,30.8,17,1,10
Deon Jackson,IND,9,41,123,3.00,13.7,17,1,9
Jerick McKinnon,KC,8,32,123,3.84,15.4,30,0,4
Kenny Gainwell,PHI,8,28,122,4.36,15.2,11,3,9
Curtis Samuel,WAS,9,18,122,6.78,13.6,21,0,7
Dontrell Hilliard,TEN,7,17,121,7.12,17.3,30,0,3
Chase Edmonds,MIA,8,42,120,2.86,15.0,28,2,6
Rachaad White,TB,9,38,117,3.08,13.0,11,1,9
Russell Wilson,DEN,7,25,113,4.52,16.1,18,1,8
Joshua Kelley,LAC,6,23,104,4.52,17.3,16,1,6
Sony Michel,LAC,8,34,103,3.03,12.9,12,0,7
Craig Reynolds,DET,8,23,102,4.43,12.8,21,0,4
Darrel Williams,ARI,6,21,102,4.86,17.0,30,1,8
Kenny Pickett,PIT,5,19,98,5.16,19.6,16,2,9
Chuba Hubbard,CAR,7,15,97,6.47,13.9,17t,1,6
J.D. McKissic,WAS,8,22,95,4.32,11.9,33,0,5
Zack Moss,BUF,5,17,91,5.35,18.2,43,0,3
JaMycal Hasty,JAX,9,12,88,7.33,9.8,61t,1,2
Braxton Berrios,NYJ,9,7,82,11.71,9.1,25,2,4
Mike Boone,DEN,7,15,82,5.47,11.7,18,0,4
Rex Burkhead,HOU,8,23,81,3.52,10.1,9,0,4
Carson Wentz,WAS,6,19,79,4.16,13.2,18,0,3
Mac Jones,NE,6,25,78,3.12,13.0,15,1,7
Matt Breida,NYG,8,23,73,3.17,9.1,13,0,5
Boston Scott,PHI,6,24,71,2.96,11.8,16,1,4
Amon-Ra St. Brown,DET,7,2,68,34.00,9.7,58,0,1
