Player	Team	Gms	Att	Yds	Avg	YPG	Lg	TD	FD
Saquon Barkley	NYG	9	198	931	4.70	103.4	68	6	39
Derrick Henry	TEN	9	202	923	4.57	102.6	56	9	41
Nick Chubb	CLE	9	160	904	5.65	100.4	41t	11	41
Josh Jacobs	LV	9	159	821	5.16	91.2	43	7	50
Dameon Pierce	HOU	9	165	772	4.68	85.8	75t	3	46
Justin Fields	CHI	10	104	749	7.20	74.9	67t	6	48
Aaron Jones	GB	10	131	738	5.63	73.8	36	2	37
Dalvin Cook	MIN	9	145	727	5.01	80.8	81t	6	33
Travis Etienne	JAX	10	131	725	5.53	72.5	49	4	36
Miles Sanders	PHI	8	131	656	5.01	82.0	35	6	33
Khalil Herbert	CHI	10	108	643	5.95	64.3	63	4	22
Jeffery Wilson	MIA/SF	10	118	638	5.41	63.8	41	3	30
Lamar Jackson	BAL	9	86	635	7.38	70.6	79t	2	38
Tony Pollard	DAL	9	103	621	6.03	69.0	57t	6	25
Rhamondre Stevenson	NE	9	129	618	4.79	68.7	49	4	32
Jonathan Taylor	IND	7	129	609	4.72	87.0	66t	2	29
Jamaal Williams	DET	9	142	604	4.25	67.1	51t	9	38
Kenneth Walker	SEA	9	121	587	4.85	65.2	74t	7	29
Joe Mixon	CIN	9	151	585	3.87	65.0	31	6	35
Christian McCaffrey	CAR/SF	9	125	563	4.50	62.6	49	4	30
Raheem Mostert	MIA	10	118	543	4.60	54.3	25	3	28
Josh Allen	BUF	9	68	476	7.00	52.9	36t	4	35
Alvin Kamara	NO	8	112	469	4.19	58.6	27	1	22
Breece Hall	NYJ	7	80	463	5.79	66.1	62t	4	20
Leonard Fournette	TB	10	135	462	3.42	46.2	17	3	27
Najee Harris	PIT	9	128	460	3.59	51.1	36	1	18
AJ Dillon	GB	10	111	454	4.09	45.4	27	1	26
Austin Ekeler	LAC	9	104	451	4.34	50.1	71	6	20
Tyler Allgeier	ATL	9	102	443	4.34	49.2	44	1	20
Ezekiel Elliott	DAL	7	109	443	4.06	63.3	27	4	26
David Montgomery	CHI	9	115	434	3.77	48.2	28	2	22
D'Onta Foreman	CAR	10	91	426	4.68	42.6	60	4	20
James Robinson	JAX/NYJ	9	99	405	4.09	45.0	50t	3	21
Cordarrelle Patterson	ATL	6	76	402	5.29	67.0	40	5	23
Devin Singletary	BUF	9	92	394	4.28	43.8	30	2	17
Daniel Jones	NYG	9	69	387	5.61	43.0	24	3	31
Kyler Murray	ARI	9	59	359	6.08	39.9	42	2	19
Marcus Mariota	ATL	10	63	347	5.51	34.7	30	3	23
Rashaad Penny	SEA	5	57	346	6.07	69.2	41t	2	15
Kenyan Drake	BAL	7	73	344	4.71	49.1	40	3	16
Taysom Hill	NO	9	43	344	8.00	38.2	60t	5	21
Caleb Huntley	ATL	8	69	331	4.80	41.4	30	1	17
Michael Carter	NYJ	9	85	330	3.88	36.7	25	3	13
Antonio Gibson	WAS	9	89	328	3.69	36.4	20	2	21
Jalen Hurts	PHI	8	88	326	3.70	40.8	26t	6	28
James Conner	ARI	7	82	314	3.83	44.9	17	3	23
Kareem Hunt	CLE	9	83	314	3.78	34.9	24t	3	20
Damien Harris	NE	7	71	302	4.25	43.1	16	3	16
Eno Benjamin	ARI	10	70	299	4.27	29.9	45	2	14
Clyde Edwards-Helaire	KC	9	69	293	4.25	32.6	52	3	14
Melvin Gordon	DEN	9	82	287	3.50	31.9	17	2	13
Isiah Pacheco	KC	9	60	279	4.65	31.0	22	1	10
Darrell Henderson	LA	9	68	274	4.03	30.4	23	3	14
D'Andre Swift	DET	6	40	253	6.33	42.2	50	2	8
Rachaad White	TB	10	60	222	3.70	22.2	29	1	16
Brian Robinson	WAS	5	67	219	3.27	43.8	24	1	13
Geno Smith	SEA	10	45	218	4.84	21.8	24	1	13
Latavius Murray	NO/DEN	5	57	217	3.81	43.4	14	3	12
Patrick Mahomes	KC	9	34	215	6.32	23.9	20	1	14
Javonte Williams	DEN	4	47	204	4.34	51.0	17	0	9
Mark Ingram	NO	8	51	196	3.84	24.5	14	1	11
Justice Hill	BAL	7	32	190	5.94	27.1	34	0	7
Jaylen Warren	PIT	9	38	190	5.00	21.1	21	0	11
Jacoby Brissett	CLE	9	38	182	4.79	20.2	21	2	23
Trevor Lawrence	JAX	10	37	178	4.81	17.8	24	3	15
Cam Akers	LA	7	62	176	2.84	25.1	14t	1	11
James Cook	BUF	9	33	169	5.12	18.8	33	1	8
Deebo Samuel	SF	8	28	165	5.89	20.6	51	1	5
Alexander Mattison	MIN	9	40	149	3.73	16.6	15	2	10
Kenny Pickett	PIT	6	27	149	5.52	24.8	23	3	13
Joe Burrow	CIN	9	35	141	4.03	15.7	23	4	15
Samaje Perine	CIN	9	25	133	5.32	14.8	29	0	7
Gus Edwards	BAL	2	27	131	4.85	65.5	22	2	9
Elijah Mitchell	SF	2	24	130	5.42	65.0	16	0	8
Chase Edmonds	MIA/DEN	9	44	129	2.93	14.3	28	2	6
Jerick McKinnon	KC	9	33	125	3.79	13.9	30	0	4
J.K. Dobbins	BAL	4	35	123	3.51	30.8	17	1	10
Dontrell Hilliard	TEN	8	18	123	6.83	15.4	30	0	3
Deon Jackson	IND	9	41	123	3.00	13.7	17	1	9
Kenny Gainwell	PHI	8	28	122	4.36	15.2	11	3	9
Curtis Samuel	WAS	9	18	122	6.78	13.6	21	0	7
Russell Wilson	DEN	8	32	121	3.78	15.1	18	1	10
Chuba Hubbard	CAR	8	20	111	5.55	13.9	17t	1	7
Sony Michel	LAC	9	35	105	3.00	11.7	12	0	7
Joshua Kelley	LAC	6	23	104	4.52	17.3	16	1	6
Craig Reynolds	DET	8	23	102	4.43	12.8	21	0	4
Darrel Williams	ARI	6	21	102	4.86	17.0	30	1	8
J.D. McKissic	WAS	8	22	95	4.32	11.9	33	0	5
Zack Moss	BUF/IND	6	18	95	5.28	15.8	43	0	3
Matt Breida	NYG	9	29	93	3.21	10.3	13	0	6
JaMycal Hasty	JAX	10	13	92	7.08	9.2	61t	1	2
Rex Burkhead	HOU	9	24	83	3.46	9.2	9	0	4
Avery Williams	ATL	10	14	83	5.93	8.3	21	1	4
Braxton Berrios	NYJ	9	7	82	11.71	9.1	25	2	4
Mike Boone	DEN	7	15	82	5.47	11.7	18	0	4
Carson Wentz	WAS	6	19	79	4.16	13.2	18	0	3
Mac Jones	NE	6	25	78	3.12	13.0	15	1	7
Justin Herbert	LAC	9	27	73	2.70	8.1	14	0	6
Boston Scott	PHI	6	24	71	2.96	11.8	16	1	4
Amon-Ra St. Brown	DET	8	3	70	23.33	8.8	58	0	1
Zach Wilson	NYJ	6	21	68	3.24	11.3	18	1	5
Derek Carr	LV	9	15	67	4.47	7.4	20	0	7
Trey Lance	SF	2	16	67	4.19	33.5	13	0	7
DeeJay Dallas	SEA	10	13	65	5.00	6.5	16	0	4
Aaron Rodgers	GB	10	16	64	4.00	6.4	18	0	5
Malik Willis	TEN	5	18	64	3.56	12.8	17	0	2
Malik Davis	DAL	4	13	61	4.69	15.2	17	0	2
Justin Jackson	DET	9	16	60	3.75	6.7	11	0	4
Chase Claypool	PIT/CHI	10	9	59	6.56	5.9	15	0	3
