WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,CAR,18,34,52.9,147,4.3,1,0,74.02,4,10,2.5,0,10.9,10.88
2,NYJ,22,27,81.5,229,8.5,1,1,98.92,6,43,7.2,0,15.5,15.46
3,PIT,21,31,67.7,220,7.1,2,0,109.61,3,11,3.7,0,17.9,17.9
4,ATL,21,35,60,234,6.7,0,1,68.04,5,16,3.2,1,15,14.96
5,LAC,21,34,61.8,230,6.8,1,1,79.29,3,32,10.7,0,14.4,14.4
6,NE,21,45,46.7,266,5.9,1,2,54.49,1,0,0,0,8.6,8.64
7,BAL,22,27,81.5,258,9.6,0,0,106.48,3,18,6,0,10.1,10.12
8,CIN,17,22,77.3,278,12.6,1,0,133.71,6,12,2,1,20.3,20.32
10,MIA,22,35,62.9,212,6.1,1,0,89.23,7,40,5.7,0,16.5,16.48
11,BUF,28,41,68.3,324,7.9,3,0,116.31,7,29,4.1,0,25.9,25.86
12,TB,23,37,62.2,210,5.7,1,1,75.28,2,27,13.5,0,13.1,13.1
