WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,PHI,21,37,56.8,215,5.8,2,1,80.35,2,9,4.5,0,15.5,15.5
2,WAS,20,34,58.8,256,7.5,4,0,121.69,2,-2,-1,0,26,26.04
3,MIN,25,41,61,277,6.8,1,1,79.01,2,8,4,0,13.9,13.88
4,SEA,26,39,66.7,378,9.7,4,1,121.53,1,1,1,0,33.2,33.22
5,NE,19,35,54.3,229,6.5,0,1,62.68,3,7,2.3,0,5.9,5.86
7,DAL,21,26,80.8,228,8.8,0,2,71.15,1,4,4,0,1.5,1.52
8,MIA,27,37,73,321,8.7,1,0,108.05,1,3,3,0,17.6,17.64
9,GB,14,26,53.8,137,5.3,2,1,78.53,1,-1,-1,0,11.4,11.38
10,CHI,19,26,73.1,236,9.1,1,0,113.62,4,14,3.5,0,14.8,14.84
11,NYG,17,26,65.4,165,6.3,0,0,83.01,4,-1,-0.2,0,6.5,6.5
12,BUF,23,37,62.2,240,6.5,2,0,98.93,0,0,0,0,17.6,17.6
