WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
12,GB,16,28,57.1,153,5.5,2,0,96.28,17,157,9.2,0,29.8,29.82
11,IND,18,25,72,190,7.6,1,0,107.08,16,86,5.4,1,24.2,24.2
10,WAS,17,26,65.4,175,6.7,2,1,94.23,6,28,4.7,1,21.8,21.8
9,HOU,21,27,77.8,243,9,2,0,128.86,9,23,2.6,0,20,20.02
8,PIT,19,28,67.9,285,10.2,4,0,140.62,2,10,5,0,28.4,28.4
6,DAL,15,25,60,155,6.2,2,0,104.58,9,27,3,0,16.9,16.9
5,ARI,26,36,72.2,239,6.6,0,0,89.93,15,61,4.1,2,27.7,27.66
4,JAX,16,25,64,204,8.2,0,1,72.75,16,38,2.4,1,16,15.96
3,WAS,22,35,62.9,340,9.7,3,0,123.51,9,20,2.2,0,27.6,27.6
2,MIN,26,31,83.9,333,10.7,1,1,108.74,11,57,5.2,2,33,33.02
1,DET,18,32,56.2,243,7.6,0,0,80.6,17,90,5.3,1,24.7,24.72
