WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,PIT,33,53,62.3,338,6.4,2,4,61.67,6,47,7.8,0,18.2,18.22
2,DAL,24,36,66.7,199,5.5,1,0,89.93,4,26,6.5,0,16.6,16.56
3,NYJ,23,36,63.9,275,7.6,3,0,114.93,5,0,0,0,23,23
4,MIA,20,31,64.5,287,9.3,2,0,115.93,5,6,1.2,0,20.1,20.08
5,BAL,24,35,68.6,217,6.2,1,1,82.68,3,6,2,1,17.3,17.28
6,NO,28,37,75.7,300,8.1,3,0,125.96,4,25,6.2,1,32.5,32.5
7,ATL,34,42,81,481,11.5,3,0,138.19,3,20,6.7,1,39.2,39.24
8,CLE,25,35,71.4,232,6.6,2,1,96.37,1,2,2,0,13.5,13.48
9,CAR,22,28,78.6,206,7.4,1,0,109.23,4,9,2.2,1,19.1,19.14
11,PIT,24,39,61.5,355,9.1,4,2,104.11,4,5,1.2,0,26.7,26.7
12,TEN,22,37,59.5,270,7.3,1,0,91.05,9,32,3.6,0,18,18
