WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,KC,22,34,64.7,193,5.7,2,0,99.26,5,29,5.8,0,20.6,20.62
2,LV,31,49,63.3,277,5.7,1,1,76.66,5,28,5.6,1,25.9,25.88
3,LAR,37,58,63.8,314,5.4,0,0,77.8,2,8,4,0,13.4,13.36
4,CAR,23,32,71.9,207,6.5,2,1,96.74,12,26,2.2,1,22.9,22.88
5,PHI,28,42,66.7,250,6,1,1,80.46,4,42,10.5,0,16.2,16.2
6,SEA,23,37,62.2,222,6,0,1,67.62,10,100,10,0,14.9,14.88
7,NO,20,29,69,204,7,1,0,100.36,7,30,4.3,0,17.2,17.16
8,MIN,31,44,70.5,326,7.4,3,2,95.45,6,36,6,0,24.6,24.64
9,SEA,25,35,71.4,175,5,2,0,101.49,8,60,7.5,0,19,19
12,LAC,18,29,62.1,191,6.6,2,1,89.87,7,56,8,1,25.2,25.24
