WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,HOU,32,50,64,352,7,1,1,83.08,4,12,3,0,15.3,15.28
2,JAX,16,30,53.3,195,6.5,0,3,34.03,0,0,0,0,1.8,1.8
3,KC,27,37,73,222,6,2,0,105.91,3,4,1.3,0,15.3,15.28
4,TEN,27,37,73,356,9.6,2,1,109.74,2,-4,-2,0,17.8,17.84
5,DEN,26,41,63.4,251,6.1,0,2,60.11,1,1,1,0,6.1,6.14
6,JAX,42,58,72.4,389,6.7,3,0,107.61,1,-4,-4,0,27.2,27.16
7,TEN,33,44,75,243,5.5,1,2,76.23,1,2,2,0,9.9,9.92
10,LV,21,28,75,222,7.9,1,0,109.52,4,38,9.5,1,22.7,22.68
11,PHI,23,32,71.9,213,6.7,0,0,89.71,1,1,1,0,8.6,8.62
12,PIT,22,34,64.7,199,5.9,1,1,77.94,4,22,5.5,0,10.2,10.16
