WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,DAL,18,27,66.7,212,7.9,1,1,87.27,2,-1,-0.5,0,10.4,10.38
2,NO,18,34,52.9,190,5.6,1,0,79.29,3,-2,-0.7,0,9.4,9.4
3,GB,31,42,73.8,271,6.5,1,0,98.41,1,-1,-1,0,14.7,14.74
4,KC,39,52,75,385,7.4,3,0,114.66,0,0,0,0,25.4,25.4
5,ATL,35,52,67.3,351,6.8,1,0,92.71,3,-3,-1,0,19.7,19.74
6,PIT,25,40,62.5,243,6.1,1,0,87.81,1,0,0,0,13.7,13.72
7,CAR,32,49,65.3,290,5.9,0,0,81.16,1,1,1,0,11.7,11.7
8,BAL,26,44,59.1,325,7.4,1,0,89.68,1,1,1,0,17.1,17.1
9,LAR,36,58,62.1,280,4.8,1,0,79.67,0,0,0,0,15.2,15.2
10,SEA,22,29,75.9,258,8.9,2,1,110.99,6,-3,-0.5,0,16,16.02
12,CLE,29,43,67.4,246,5.7,2,0,97.63,1,2,2,0,18,18.04
