WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,WAS,24,42,57.1,275,6.5,1,1,75,2,4,2,0,13.4,13.4
2,IND,25,30,83.3,235,7.8,2,0,121.53,3,11,3.7,0,18.5,18.5
3,LAC,28,39,71.8,262,6.7,3,0,115.54,3,7,2.3,0,25.2,25.18
4,PHI,11,23,47.8,174,7.6,2,1,84.33,2,7,3.5,0,5.7,5.66
5,HOU,25,47,53.2,286,6.1,0,2,54.03,4,29,7.2,0,10.3,10.34
6,IND,20,22,90.9,165,7.5,1,0,113.07,6,23,3.8,2,24.9,24.9
7,NYG,22,43,51.2,310,7.2,0,0,74.76,4,3,0.8,1,18.7,18.7
8,DEN,18,31,58.1,133,4.3,1,2,52.22,3,15,5,0,6.8,6.82
9,LV,25,31,80.6,235,7.6,1,0,109.01,6,53,8.8,0,16.7,16.7
10,KC,29,40,72.5,259,6.5,2,0,106.15,4,26,6.5,0,21,20.96
12,BAL,29,37,78.4,321,8.7,3,0,129.84,2,1,0.5,0,24.9,24.94
