Player	Team	Gms	Att	Cmp	Pct	Yds	YPA	TD	TD%	Int	Int%	Lg	Sack	Loss	Rate
Patrick Mahomes	KC	11	442	292	66.1	3,585	8.1	29	6.6	8	1.8	57	17	118	105.3
Josh Allen	BUF	12	443	284	64.1	3,406	7.7	25	5.6	11	2.5	98t	25	120	96.0
Joe Burrow	CIN	11	409	279	68.2	3,160	7.7	23	5.6	8	2.0	60t	33	214	101.7
Tom Brady	TB	11	470	311	66.2	3,051	6.5	14	3.0	2	0.4	51	17	124	92.4
Justin Herbert	LAC	11	463	312	67.4	3,004	6.5	19	4.1	7	1.5	54	21	119	92.7
Geno Smith	SEA	11	353	257	72.8	2,802	7.9	19	5.4	5	1.4	54	27	217	107.9
Kirk Cousins	MIN	11	414	269	65.0	2,760	6.7	17	4.1	9	2.2	64	28	208	88.6
Derek Carr	LV	11	384	242	63.0	2,730	7.1	18	4.7	7	1.8	60	21	140	92.3
Jared Goff	DET	11	364	232	63.7	2,682	7.4	17	4.7	7	1.9	81	17	120	93.5
Aaron Rodgers	GB	12	392	254	64.8	2,682	6.8	21	5.4	9	2.3	58t	24	187	92.9
Trevor Lawrence	JAX	11	385	256	66.5	2,655	6.9	16	4.2	6	1.6	49	21	135	93.6
Matt Ryan	IND	10	391	269	68.8	2,642	6.8	11	2.8	10	2.6	44	32	245	86.3
Jacoby Brissett	CLE	11	368	236	64.1	2,608	7.1	12	3.3	6	1.6	55	24	160	89.1
Tua Tagovailoa	MIA	9	284	198	69.7	2,564	9.0	19	6.7	3	1.1	60t	12	92	115.7
Jalen Hurts	PHI	11	318	214	67.3	2,560	8.1	17	5.3	3	0.9	54	28	165	105.6
Jimmy Garoppolo	SF	10	304	205	67.4	2,381	7.8	16	5.3	4	1.3	57t	17	90	103.0
Russell Wilson	DEN	10	336	198	58.9	2,369	7.0	8	2.4	5	1.5	67t	35	225	82.3
Kyler Murray	ARI	10	389	258	66.3	2,359	6.1	14	3.6	7	1.8	38t	25	192	87.1
Lamar Jackson	BAL	11	322	200	62.1	2,231	6.9	17	5.3	7	2.2	75t	24	104	91.3
Daniel Jones	NYG	11	316	204	64.6	2,165	6.8	10	3.2	4	1.3	65t	33	193	89.7
Davis Mills	HOU	10	328	203	61.9	2,144	6.5	11	3.4	11	3.4	58	28	222	78.1
Matthew Stafford	LA	9	303	206	68.0	2,087	6.9	10	3.3	8	2.6	75t	29	208	87.4
Marcus Mariota	ATL	12	276	171	62.0	2,052	7.4	14	5.1	8	2.9	75t	27	188	89.5
Andy Dalton	NO	9	271	180	66.4	2,023	7.5	14	5.2	7	2.6	64	14	106	95.0
Ryan Tannehill	TEN	9	243	158	65.0	1,976	8.1	10	4.1	4	1.6	69	19	148	97.0
Mac Jones	NE	9	270	184	68.2	1,963	7.3	7	2.6	7	2.6	48t	25	165	87.0
Justin Fields	CHI	11	228	136	59.6	1,642	7.2	13	5.7	8	3.5	56	40	238	86.2
Kenny Pickett	PIT	8	265	175	66.0	1,600	6.0	3	1.1	8	3.0	36	23	154	73.5
Carson Wentz	WAS	6	232	144	62.1	1,489	6.4	10	4.3	6	2.6	75t	23	140	84.1
Dak Prescott	DAL	6	182	124	68.1	1,393	7.7	10	5.5	6	3.3	68t	7	40	95.3
Baker Mayfield	CAR	7	206	119	57.8	1,313	6.4	6	2.9	6	2.9	75t	19	126	74.4
Zach Wilson	NYJ	7	189	105	55.6	1,279	6.8	4	2.1	5	2.6	79	16	124	72.6
Taylor Heinicke	WAS	6	171	104	60.8	1,169	6.8	7	4.1	5	2.9	49t	9	72	82.7
Cooper Rush	DAL	7	161	94	58.4	1,051	6.5	5	3.1	3	1.9	46	7	49	80.5
Joe Flacco	NYJ	3	155	91	58.7	901	5.8	5	3.2	3	1.9	66t	9	60	77.9
Jameis Winston	NO	3	115	73	63.5	858	7.5	4	3.5	5	4.3	51	11	74	79.5
Mitchell Trubisky	PIT	5	128	78	60.9	797	6.2	3	2.3	2	1.6	45	9	53	80.1
Bailey Zappe	NE	4	92	65	70.7	781	8.5	5	5.4	3	3.3	53	6	40	100.9
Phillip Walker	CAR	6	106	63	59.4	731	6.9	3	2.8	3	2.8	62t	7	46	78.0
Teddy Bridgewater	MIA	4	60	37	61.7	522	8.7	3	5.0	3	5.0	64	6	33	85.6
Colt McCoy	ARI	2	71	50	70.4	456	6.4	1	1.4	1	1.4	47	5	48	86.4
Mike White	NYJ	1	28	22	78.6	315	11.2	3	10.7	0	0.0	54t	1	7	149.3
Sam Ehlinger	IND	2	52	32	61.5	304	5.8	0	0.0	1	1.9	47	11	72	69.7
Skylar Thompson	MIA	4	52	28	53.9	278	5.3	0	0.0	1	1.9	30	4	22	61.2
Brett Rypien	DEN	1	46	24	52.2	225	4.9	0	0.0	1	2.2	45	1	6	56.9
Kyle Allen	HOU	1	39	26	66.7	215	5.5	1	2.6	2	5.1	39	5	41	67.8
John Wolford	LA	1	36	24	66.7	212	5.9	1	2.8	1	2.8	25	3	19	79.9
Trey Lance	SF	2	31	15	48.4	194	6.3	0	0.0	1	3.2	44	2	9	55.0
Jordan Love	GB	3	18	12	66.7	186	10.3	1	5.6	0	0.0	63t	0	0	119.2
Trevor Siemian	CHI	2	26	15	57.7	184	7.1	1	3.9	1	3.9	33	2	14	76.4
Sam Darnold	CAR	1	19	11	57.9	164	8.6	1	5.3	0	0.0	52	0	0	103.8
Bryce Perkins	LA	3	34	19	55.9	161	4.7	1	2.9	2	5.9	20	6	50	53.7
Malik Willis	TEN	5	30	12	40.0	141	4.7	0	0.0	1	3.3	48	6	38	41.1
Taysom Hill	NO	11	14	8	57.1	115	8.2	1	7.1	0	0.0	41	1	7	107.7
Jarrett Stidham	LV	3	13	8	61.5	72	5.5	0	0.0	0	0.0	18	1	8	76.4
Trace McSorley	ARI	3	14	8	57.1	71	5.1	0	0.0	1	7.1	18	1	8	41.1
Brock Purdy	SF	3	9	4	44.4	66	7.3	0	0.0	1	11.1	22	0	0	30.1
Jacob Eason	CAR	1	5	3	60.0	59	11.8	0	0.0	1	20.0	49	0	0	61.7
Nick Mullens	MIN	2	8	6	75.0	51	6.4	0	0.0	0	0.0	15	0	0	91.1
Brian Hoyer	NE	1	6	5	83.3	37	6.2	0	0.0	0	0.0	27	1	8	92.4
Justin Jefferson	MIN	11	2	2	100.0	34	17.0	0	0.0	0	0.0	23	0	0	118.8
Christian McCaffrey	SF	5	1	1	100.0	34	34.0	1	100.0	0	0.0	34t	0	0	158.3
Tyler Boyd	CIN	11	1	1	100.0	23	23.0	0	0.0	0	0.0	23	1	12	118.8
Gardner Minshew	PHI	1	2	1	50.0	23	11.5	0	0.0	0	0.0	23	0	0	91.7
Brandon Allen	CIN	1	3	3	100.0	22	7.3	0	0.0	0	0.0	13	1	0	97.2
Riley Dixon	LA	11	2	2	100.0	18	9.0	0	0.0	0	0.0	12	0	0	104.2
Braden Mann	NYJ	11	2	1	50.0	17	8.5	0	0.0	0	0.0	17	0	0	79.2
Ryan Wright	MIN	11	1	1	100.0	13	13.0	0	0.0	0	0.0	13	0	0	118.8
Tyrod Taylor	NYG	1	3	1	33.3	11	3.7	0	0.0	1	33.3	11	0	0	5.6
Case Keenum	BUF	2	7	2	28.6	8	1.1	0	0.0	0	0.0	5	0	0	39.6
Jack Fox	DET	11	1	1	100.0	6	6.0	0	0.0	0	0.0	6	0	0	91.7
Najee Harris	PIT	11	1	1	100.0	4	4.0	0	0.0	0	0.0	4	0	0	83.3
Derrick Henry	TEN	11	2	2	100.0	4	2.0	1	50.0	0	0.0	3t	0	0	118.8
Mack Hollins	LV	11	1	1	100.0	4	4.0	0	0.0	0	0.0	4	0	0	83.3
Braxton Berrios	NYJ	11	1	1	100.0	2	2.0	1	100.0	0	0.0	2t	0	0	118.8
Chase Claypool	PIT	8	1	1	100.0	1	1.0	1	100.0	0	0.0	1t	0	0	118.8
Davante Adams	LV	11	0	0	0.0	0	0.0	0	0.0	0	0.0	0	1	10	0.0
Rex Burkhead	HOU	11	1	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	39.6
Amari Cooper	CLE	11	1	0	0.0	0	0.0	0	0.0	1	100.0	0	0	0	0.0
DeeJay Dallas	SEA	11	1	0	0.0	0	0.0	0	0.0	1	100.0	0	0	0	0.0
Chase Daniel	LAC	2	2	0	0.0	0	0.0	0	0.0	0	0.0	0	1	1	39.6
Leonard Fournette	TB	10	1	0	0.0	0	0.0	0	0.0	1	100.0	0	0	0	0.0
Chad Henne	KC	2	2	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	39.6
Christian Kirk	JAX	11	1	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	39.6
Cooper Kupp	LA	9	1	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	39.6
Tommy Townsend	KC	11	1	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	39.6
Cedrick Wilson	MIA	10	0	0	0.0	0	0.0	0	0.0	0	0.0	0	1	6	0.0
