WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,MIN,22,34,64.7,195,5.7,0,1,67.65,1,-1,-1,0,3.7,3.7
2,CHI,19,25,76,234,9.4,2,0,131.08,5,10,2,0,16.4,16.36
3,TB,27,35,77.1,255,7.3,2,1,103.87,1,-1,-1,0,16.1,16.1
4,NE,21,35,60,251,7.2,2,1,89.11,1,1,1,0,16.1,16.14
5,NYG,25,39,64.1,222,5.7,2,0,96.31,0,0,0,0,16.9,16.88
6,NYJ,26,41,63.4,246,6,1,0,88.06,1,0,0,0,11.8,11.84
7,WAS,23,35,65.7,194,5.5,2,0,98.99,0,0,0,0,15.8,15.76
8,BUF,19,30,63.3,203,6.8,2,1,91.39,1,11,11,0,15.2,15.22
9,DET,23,43,53.5,291,6.8,1,3,53.54,4,40,10,0,13.6,13.64
10,DAL,14,20,70,224,11.2,3,0,146.67,2,4,2,0,19.4,19.36
11,TEN,24,39,61.5,227,5.8,2,0,94.71,0,0,0,0,19.1,19.08
12,PHI,11,16,68.8,140,8.8,2,2,95.83,1,-1,-1,0,9.5,9.5
