WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,TEN,17,21,81,188,9,2,1,115.87,6,25,4.2,0,16,16.02
2,CAR,22,34,64.7,176,5.2,1,0,87.38,10,21,2.1,0,13.1,13.14
3,DAL,20,37,54.1,196,5.3,0,1,57.94,9,79,8.8,0,13.7,13.74
4,CHI,8,13,61.5,71,5.5,0,0,76.12,6,68,11.3,2,21.6,21.64
5,GB,21,27,77.8,217,8,0,0,100.15,10,37,3.7,0,12.4,12.38
6,BAL,19,27,70.4,173,6.4,2,0,112.11,6,6,1,0,13.5,13.52
7,JAX,19,30,63.3,202,6.7,1,0,94.03,11,107,9.7,1,28.8,28.78
8,SEA,17,31,54.8,176,5.7,0,0,71.44,6,20,3.3,0,9,9.04
10,HOU,13,17,76.5,197,11.6,2,0,153.31,5,24,4.8,0,18.3,18.28
11,DET,27,44,61.4,341,7.8,1,2,74.15,7,50,7.1,1,24.6,24.64
12,DAL,21,35,60,228,6.5,1,0,88.75,3,14,4.7,0,14.5,14.52
