WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,DEN,23,28,82.1,195,7,2,0,119.49,6,14,2.3,0,17.2,17.2
2,SF,24,30,80,197,6.6,0,1,80.14,2,2,1,0,6.1,6.08
3,ATL,32,44,72.7,325,7.4,2,1,99.15,2,-1,-0.5,0,18.9,18.9
4,DET,23,30,76.7,320,10.7,2,0,132.64,7,49,7,1,31.7,31.7
5,NO,16,25,64,268,10.7,3,0,139.67,3,13,4.3,0,24,24.02
6,ARI,20,31,64.5,197,6.4,0,0,82.33,6,48,8,0,12.7,12.68
7,LAC,20,27,74.1,210,7.8,2,1,105.48,4,7,1.8,0,13.1,13.1
8,NYG,23,34,67.6,212,6.2,2,0,104.04,5,26,5.2,0,19.1,19.08
9,ARI,26,34,76.5,275,8.1,2,1,106.86,6,38,6.3,0,20.8,20.8
10,TB,23,33,69.7,275,8.3,2,0,115.09,4,22,5.5,0,19.2,19.2
12,LV,27,37,73,328,8.9,2,1,106.59,5,22,4.4,0,19.3,19.32
