WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
2,SEA,13,21,61.9,154,7.3,1,0,100.1,4,5,1.2,1,16.7,16.66
3,DEN,18,29,62.1,211,7.3,1,1,81.25,1,0,0,0,8.4,8.44
4,LAR,16,27,59.3,239,8.9,1,0,100.69,1,3,3,0,13.9,13.86
5,CAR,18,30,60,253,8.4,2,0,109.44,1,-1,-1,0,18,18.02
6,ATL,29,41,70.7,296,7.2,2,2,87.04,3,11,3.7,0,16.9,16.94
7,KC,25,37,67.6,303,8.2,2,1,99.27,2,2,1,0,16.3,16.32
8,LAR,21,25,84,235,9.4,2,0,132.5,1,3,3,0,17.7,17.7
10,LAC,19,28,67.9,240,8.6,0,0,94.35,5,3,0.6,1,15.9,15.9
11,ARI,20,29,69,228,7.9,4,0,131.9,1,3,3,0,25.4,25.42
12,NO,26,37,70.3,222,6,1,0,94.65,4,4,1,0,13.3,13.28
