WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,LV,26,34,76.5,279,8.2,3,0,129.41,4,1,0.2,0,23.3,23.26
2,KC,33,48,68.8,334,7,3,1,100.52,2,1,0.5,0,23.5,23.46
3,JAX,25,45,55.6,297,6.6,1,1,74.03,1,7,7,0,12.6,12.58
4,HOU,27,39,69.2,340,8.7,2,0,113.19,4,-5,-1.2,0,21.1,21.1
5,CLE,22,34,64.7,228,6.7,1,0,93.75,5,13,2.6,0,14.4,14.42
6,DEN,37,57,64.9,238,4.2,0,1,66.26,2,9,4.5,0,8.4,8.42
7,SEA,33,51,64.7,293,5.7,2,1,84.84,3,22,7.3,0,17.1,17.12
9,ATL,30,43,69.8,245,5.7,1,1,82.03,1,3,3,0,12.1,12.1
10,SF,21,35,60,196,5.6,1,1,73.04,5,22,4.4,0,12,12.04
11,KC,23,30,76.7,280,9.3,2,1,113.19,5,17,3.4,0,18.7,18.7
12,ARI,35,47,74.5,274,5.8,3,0,109.71,4,38,9.5,0,28.8,28.76
