WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,GB,23,32,71.9,277,8.7,2,0,118.88,0,0,0,0,19.1,19.08
2,PHI,27,46,58.7,221,4.8,1,3,51.09,2,20,10,0,8.8,8.84
3,DET,24,41,58.5,260,6.3,2,0,93.55,1,-1,-1,0,18.3,18.3
4,NO,25,38,65.8,273,7.2,1,1,84.65,0,0,0,0,12.9,12.92
5,CHI,32,41,78,296,7.2,1,1,94.72,4,4,1,1,22.2,22.24
6,MIA,20,30,66.7,175,5.8,2,0,104.17,2,-5,-2.5,0,16.5,16.5
8,ARI,24,36,66.7,232,6.4,2,0,103.01,4,22,5.5,1,23.5,23.48
9,WAS,22,40,55,265,6.6,2,1,81.77,2,-2,-1,0,16.4,16.4
10,BUF,30,50,60,357,7.1,1,2,71.83,6,12,2,0,15.5,15.48
11,DAL,12,23,52.2,105,4.6,0,0,64.58,0,0,0,0,2.2,2.2
12,NE,30,37,81.1,299,8.1,3,1,116.1,1,-1,-1,0,21.9,21.86
