WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,NYJ,17,30,56.7,213,7.1,3,1,98.33,6,17,2.8,0,20.2,20.22
2,MIA,21,29,72.4,318,11,3,0,142.6,9,119,13.2,1,42.6,42.62
3,NE,18,29,62.1,218,7.5,4,1,110.34,11,107,9.7,1,39.4,39.42
4,BUF,20,29,69,144,5,1,2,63,11,73,6.6,0,13.1,13.06
5,CIN,19,32,59.4,174,5.4,1,1,71.61,12,58,4.8,0,14.8,14.76
6,NYG,17,32,53.1,210,6.6,1,1,71.09,7,77,11,0,16.1,16.1
7,CLE,9,16,56.2,120,7.5,0,0,80.21,10,59,5.9,0,10.7,10.7
8,TB,27,38,71.1,238,6.3,2,0,104.93,9,43,4.8,0,21.8,21.82
9,NO,12,22,54.5,133,6,1,0,87.88,11,82,7.5,0,17.5,17.52
11,CAR,24,33,72.7,209,6.3,0,1,76.45,11,31,2.8,1,15.5,15.46
12,JAX,16,32,50,254,7.9,1,0,87.24,14,89,6.4,0,23.1,23.06
