WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,ARI,30,39,76.9,360,9.2,5,0,144.23,3,5,1.7,0,34.9,34.9
2,LAC,24,35,68.6,235,6.7,2,0,106.25,2,-1,-0.5,0,17.3,17.3
3,IND,20,35,57.1,262,7.5,1,1,78.51,4,26,6.5,0,17.1,17.08
4,TB,23,37,62.2,249,6.7,3,1,97.69,4,34,8.5,0,23.4,23.36
5,LV,29,43,67.4,292,6.8,4,0,117.59,4,28,7,0,30.5,30.48
6,BUF,25,40,62.5,338,8.4,2,2,85.21,4,21,5.2,0,19.6,19.62
7,SF,25,34,73.5,423,12.4,3,1,132.35,0,0,0,0,26.9,26.92
9,TEN,43,68,63.2,446,6.6,1,1,80.88,6,63,10.5,1,34.1,34.14
10,JAX,26,35,74.3,331,9.5,4,1,129.58,7,39,5.6,0,31.1,31.14
11,LAC,20,34,58.8,329,9.7,3,0,120.83,4,23,5.8,0,27.5,27.46
12,LAR,27,42,64.3,320,7.6,1,1,85.42,4,36,9,0,18.4,18.4
