WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,NO,20,33,60.6,215,6.5,0,0,79.73,12,72,6,1,19.8,19.8
2,LAR,17,26,65.4,196,7.5,2,2,81.57,6,16,2.7,0,13.4,13.44
3,SEA,13,20,65,229,11.4,1,1,99.79,7,4,0.6,1,15.6,15.56
4,CLE,7,19,36.8,139,7.3,0,1,41.34,5,3,0.6,0,3.9,3.86
5,TB,14,25,56,147,5.9,1,0,86.58,7,61,8.7,0,18,17.98
6,SF,13,14,92.9,129,9.2,2,0,144.64,6,50,8.3,1,24.2,24.16
7,CIN,8,13,61.5,124,9.5,1,0,118.75,6,31,5.2,0,12.1,12.06
8,CAR,20,28,71.4,253,9,3,2,105.21,6,43,7.2,0,22.4,22.42
9,LAC,12,23,52.2,129,5.6,0,0,68.93,5,24,4.8,0,7.6,7.56
10,CAR,19,30,63.3,186,6.2,2,1,89.03,3,43,14.3,0,17.7,17.74
11,CHI,13,20,65,131,6.6,1,0,100.21,13,25,1.9,1,17.7,17.74
12,WAS,15,25,60,174,7,1,1,77.75,6,49,8.2,0,13.9,13.86
